CD,STATION,ICAO,IATA,SYNOP,LATdeg,LATmin,LONdeg,LONmin,ELEV,M,N,V,U,A,C,PRIORITY,COUNTRY CODE,LAT,LON
,BALCHIK,LBWB,,,43,25N,028,11E,190,X,,,,,,8.0,BG,43.416666666666664,28.183333333333334
,BEZMER,LBIA,,,42,27N,026,21E,155,X,,,,,,8.0,BG,42.45,26.35
,BURGAS,LBBG,BOJ,15655,42,34N,027,31E,41,X,,T,,,,6.0,BG,42.56666666666667,27.516666666666666
,DOLNA,LBPL,,,43,27N,024,30E,93,X,,,,,,8.0,BG,43.45,24.5
,GORNA ORECHOVIST,LBGO,GOZ,,43,09N,025,43E,84,X,,T,,,,8.0,BG,43.15,25.716666666666665
,GRAF IGNATIEVO,LBPG,,,42,17N,024,43E,198,X,,T,,,,8.0,BG,42.28333333333333,24.716666666666665
,PLOVDIV,LBPD,PDV,15625,42,03N,024,51E,182,X,,T,,,,6.0,BG,42.05,24.85
,ROUSSE/RUSE,LBRS,ROU,15535,43,51N,025,56E,45,X,,,,,,7.0,BG,43.85,25.933333333333334
,SOFIA,LBSF,SOF,15614,42,39N,023,22E,592,X,,T,X,,,6.0,BG,42.65,23.366666666666667
,VARNA,LBWN,VAR,15552,43,13N,027,49E,74,X,,T,,,,6.0,BG,43.21666666666667,27.816666666666666
,AKROTIRI (RAF),LCRA,AKT,17601,34,35N,032,59E,23,X,,T,X,,,6.0,CY,34.583333333333336,32.983333333333334
,ERCAN,LCEN,ECN,,35,09N,033,30E,91,X,,T,,,,6.0,CY,35.15,33.5
,GECITKALE,LCGK,,,35,15N,033,44E,20,X,,T,,,,6.0,CY,35.25,33.733333333333334
,LARNACA/LARNAX A,LCLK,LCA,17609,34,52N,033,37E,2,X,,T,X,,,6.0,CY,34.86666666666667,33.61666666666667
,NICOSIA/ATHALASS,LCNC,NIC,17607,35,08N,033,23E,161,X,,T,X,,,7.0,CY,35.13333333333333,33.38333333333333
,PAPHOS/BAF INTL,LCPH,PFO,17600,34,43N,032,28E,8,X,,T,X,,,6.0,CY,34.71666666666667,32.46666666666667
,BOL AIRPORT,LDSB,BWK,14446,43,17N,016,41E,525,X,,T,,,,8.0,HR,43.28333333333333,16.683333333333334
,DUBROVNIK-CILIPI,LDDU,DBV,14474,42,34N,018,16E,156,X,,T,,,,6.0,HR,42.56666666666667,18.266666666666666
,LOSINJ ISLAND,LDLO,LSZ,,44,34N,014,24E,46,X,,T,,,,8.0,HR,44.56666666666667,14.4
